Task/Position,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,3.40556,3.91286,4.33969,4.41134,4.83854,5.40545,6.10308,7.10607,7.18501,7.18501,7.18501,7.18501,10.1701,11.90847,16.56988,59.10259,68.45501,68.45501,68.45501,68.45501
2,5.22864,5.64803,5.69055,5.81152,6.38714,6.40359,6.61359,7.31241,8.05415,8.07112,8.20458,8.20458,8.20458,9.25374,10.53287,10.57926,11.70012,12.62247,15.43082,15.43082
3,13.4659,15.00843,16.07535,16.11789,18.30426,18.36691,19.33883,19.9675,20.07828,21.73996,22.59906,22.71805,23.77843,23.81905,24.2943,24.78756,25.70464,28.7512,33.90169,33.90169
4,10.43689,10.50928,10.9172,11.86673,12.13296,12.55024,12.94025,13.32739,13.61184,13.71073,13.87789,14.36502,14.4091,15.26225,15.51709,15.98944,16.42152,17.61048,18.69337,18.73837
5,8.91363,10.07035,10.08012,10.10896,10.3056,10.50969,10.92495,11.13242,11.74743,11.76061,12.01792,12.39786,12.52315,12.75602,13.33397,13.44562,14.0059,14.15778,14.48463,16.67495
6,7.39327,7.53909,7.53931,7.60592,7.6238,7.63981,7.65679,7.70483,7.80254,7.96374,8.24663,8.26945,8.34927,8.41797,8.43842,8.65209,9.14772,9.20029,9.21275,9.37328
7,4.2643,4.31464,4.40958,4.42197,4.45478,4.63697,4.72888,4.82125,4.90967,4.96105,4.9678,5.05759,5.46468,5.56314,5.62119,5.66392,5.82568,5.90994,6.08153,6.14183
8,5.39357,5.89763,6.13206,6.45434,6.633,6.66754,6.75981,6.80476,7.04276,7.2248,7.27521,7.29439,7.41836,7.7387,7.79521,8.19792,8.21756,8.30737,8.68985,9.07058
9,6.18782,6.23063,6.40277,6.44393,6.55364,6.62416,6.68473,6.76531,6.90455,6.95992,6.99209,7.0566,7.1234,7.1793,7.44405,7.61018,7.66125,7.87942,8.36147,8.37988
10,7.3182,7.95274,8.01443,8.14086,8.30707,8.43911,8.83609,8.86098,9.05232,9.1406,9.22147,9.59207,9.70258,9.81519,9.94031,10.013,10.09477,10.15112,10.55462,10.86571
11,9.88085,10.24441,10.66094,10.80323,10.83095,10.92943,10.93568,11.02008,11.02036,11.13655,11.26001,11.34854,11.43846,11.61824,11.62609,11.63163,11.97369,12.53038,12.53752,12.63158
12,5.44694,5.45513,5.48635,5.54429,5.69198,5.77786,5.81385,5.88671,5.92841,5.98594,6.16926,6.22241,6.38554,6.5096,6.63946,6.68209,6.73096,7.28585,7.40645,7.85076
13,1.84632,3.36018,3.63788,3.77226,3.8128,3.96128,4.0666,4.21107,4.23817,4.37957,4.48664,4.49069,4.49611,4.59656,4.80312,4.80596,4.83487,5.07299,5.35143,5.4082
14,5.60279,5.9011,5.93956,5.96986,6.23598,6.23632,6.31729,6.37941,6.40539,6.47702,6.50024,6.52214,6.5464,6.58464,6.64743,6.81495,6.82493,6.96974,7.00961,8.48434
15,8.22874,8.47866,8.80798,8.91092,8.96991,9.55195,9.73161,9.98735,10.16235,10.39173,10.8633,10.89353,11.19505,11.21424,11.78714,12.75489,13.39854,17.47027,17.5325,18.77543
