TRAINTMS,VALIDTMS,RMSE,MAE
2008-01-26 22:00:00,2010-09-27 14:00:00,6.85884817277063,5.76447857993762
2008-01-26 22:00:00,2011-01-02 08:00:00,11.2489056647738,9.47705051807736
2008-01-26 22:00:00,2011-02-14 12:00:00,7.61423462670512,5.80719325474026
2008-01-26 22:00:00,2011-01-25 23:00:00,6.64545222135176,5.48521585159829
2008-01-20 04:00:00,2010-05-06 14:00:00,6.00855324634384,4.69366891164332
2008-01-20 04:00:00,2010-07-05 11:00:00,6.52348468063692,5.59913355978048
2008-01-20 04:00:00,2010-04-27 03:00:00,5.97904699456676,4.5746603869114
2008-01-20 04:00:00,2010-10-21 02:00:00,6.7667640194584,5.2689029103021
2010-02-27 12:00:00,2010-07-19 09:00:00,5.18350552456206,4.48632739034727
2010-02-27 12:00:00,2010-06-01 20:00:00,4.79814202945901,4.26113906418392
2010-02-27 12:00:00,2010-05-24 10:00:00,4.45192354924113,3.8645737626309
2010-02-27 12:00:00,2010-05-17 12:00:00,4.72393644419067,3.96014335997054
2009-04-26 17:00:00,2010-09-14,5.90789628785051,4.77927203489347
2009-04-26 17:00:00,2011-02-24 02:00:00,7.21027391579426,5.51661941354393
2009-04-26 17:00:00,2011-02-06 12:00:00,7.57460032965013,6.16972052456069
2009-04-26 17:00:00,2010-11-19 13:00:00,5.50154787857433,4.21810257870369
2009-02-13 03:00:00,2011-01-22 04:00:00,6.13736876197137,4.93713203771044
2009-02-13 03:00:00,2010-05-16 05:00:00,6.49710578545169,5.77907614977744
2009-02-13 03:00:00,2010-06-12 23:00:00,7.64602038935385,7.03168439764774
2009-02-13 03:00:00,2010-06-20 11:00:00,7.27082270920412,6.61528025609679
2007-02-08 01:00:00,2011-01-21 17:00:00,7.59993681033213,6.08151787467354
2007-02-08 01:00:00,2011-02-23 02:00:00,8.87042604655638,6.95990629073514
2007-02-08 01:00:00,2010-07-30 04:00:00,3.19686715741541,2.54895919751417
2007-02-08 01:00:00,2010-08-07 02:00:00,3.57377915234178,2.82394417560139
2008-05-15 23:00:00,2010-11-10 16:00:00,6.09761535233046,4.73121379517349
2008-05-15 23:00:00,2010-11-15 13:00:00,5.94249410601433,4.55393450941138
2008-05-15 23:00:00,2011-01-06 02:00:00,7.19108130016481,5.92774262182979
2008-05-15 23:00:00,2011-02-10 03:00:00,7.75406583127381,6.30675751263447
,,0,0
,,0,0
,,0,0
,,0,0
2005-10-18 23:00:00,2010-09-28 15:00:00,7.68878566590206,6.47316748578315
2005-10-18 23:00:00,2010-08-30,5.20428807116353,4.13462986320441
2005-10-18 23:00:00,2010-05-26 01:00:00,4.4074632432199,3.51730758808828
2005-10-18 23:00:00,2010-11-01 06:00:00,7.9050287974265,6.29075079558522
